Nr;Navn;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24
1149;Karmøy;44;52;52;52;55;67;75;27;39;31;21;65;7;2;4;8;0;0;0;0;0;0;0;0
604;Kongsberg;54;58;58;58;67;71;83;40;28;26;16;57;4;3;2;3;0;0;0;0;2;0;0;0
402;Kongsvinger;30;35;35;35;37;26;54;23;57;63;29;46;3;11;14;23;0;0;3;3;3;0;0;3
815;Kragerø;12;5;5;5;25;:;:;:;42;:;:;:;33;:;:;:;0;:;:;:;0;:;:;:
1001;Kristiansand;79;94;94;94;47;65;65;24;49;28;19;53;4;7;16;20;0;0;0;0;0;0;0;0
1505;Kristiansund;8;13;13;13;:;46;77;54;:;54;23;38;:;0;0;8;:;0;0;0;:;0;0;0
1238;Kvam;19;27;27;27;11;44;63;11;84;56;30;70;5;0;7;19;0;0;0;0;0;0;0;0
1037;Kvinesdal;0;1;1;1;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1224;Kvinnherad;23;23;23;23;9;43;57;9;78;39;30;52;13;17;13;39;0;0;0;0;0;0;0;0
709;Larvik;14;22;22;22;43;50;50;14;57;41;32;45;0;9;14;32;0;0;5;0;0;0;0;0
1718;Leksvik;1;11;11;11;:;45;64;0;:;27;27;82;:;27;9;18;:;0;0;0;:;0;0;0
1931;Lenvik;40;50;49;50;38;58;24;14;58;36;29;46;2;6;43;38;0;0;4;2;2;0;0;2
1719;Levanger;13;14;13;14;46;57;77;7;38;36;23;57;15;0;0;29;0;7;0;7;0;0;0;7
626;Lier;71;85;85;85;37;59;61;22;62;39;25;60;0;2;11;16;0;0;4;0;1;0;0;0
501;Lillehammer;57;56;56;56;44;48;66;27;33;48;18;41;19;4;11;29;0;0;5;0;4;0;0;0
926;Lillesand;5;6;6;6;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1263;Lindås;44;52;52;52;41;73;85;42;48;25;8;42;11;2;8;13;0;0;0;2;0;0;0;2
514;Lom;2;5;5;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1112;Lund;10;6;6;6;20;:;:;:;30;:;:;:;50;:;:;:;0;:;:;:;0;:;:;:
533;Lunner;54;67;67;67;24;49;43;13;57;27;24;39;17;18;21;31;2;6;12;3;0;0;0;3
1032;Lyngdal;11;12;12;12;55;50;75;25;45;42;25;67;0;8;0;8;0;0;0;0;0;0;0;0
1851;Lødingen;9;4;4;4;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
230;Lørenskog;103;141;143;143;41;53;59;16;49;36;27;50;11;11;12;29;0;0;1;5;0;0;0;4
415;Løten;13;17;17;17;31;29;47;6;69;59;24;53;0;12;24;35;0;0;6;0;0;0;0;0
1002;Mandal;29;30;30;30;17;60;67;13;52;30;20;77;31;10;13;10;0;0;0;0;0;0;0;0
1653;Melhus;10;8;8;8;30;:;:;:;30;:;:;:;10;:;:;:;0;:;:;:;30;:;:;:
1837;Meløy;4;4;4;4;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1711;Meråker;7;10;10;10;:;50;40;10;:;30;30;80;:;20;20;10;:;0;10;0;:;0;0;0
623;Modum;24;18;18;18;33;44;44;22;58;44;44;50;8;11;6;22;0;0;6;6;0;0;0;4
1502;Molde;44;48;48;48;30;67;73;19;50;23;17;54;16;10;10;27;0;0;0;0;5;0;0;0
104;Moss;33;50;50;50;48;52;54;28;27;32;24;36;15;14;14;30;6;2;8;2;3;0;0;2
1924;Målselv;7;14;14;14;:;21;21;14;:;64;57;36;:;14;21;43;:;0;0;0;:;0;0;0
1703;Namsos;45;41;41;41;29;51;46;17;42;44;32;56;27;5;22;27;0;0;0;0;2;0;0;0
1805;Narvik;0;1;1;1;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
625;Nedre Eiker;12;16;16;16;42;69;62;31;58;19;19;50;0;12;19;19;0;0;0;0;0;0;0;0
1828;Nesna;12;12;12;12;17;25;25;0;83;75;50;58;0;0;25;42;0;0;0;0;0;0;0;0
216;Nesodden;26;40;40;40;38;50;58;20;31;40;18;52;31;10;20;22;0;0;5;2;0;0;0;2
233;Nittedal;22;22;22;22;45;86;77;45;55;14;23;50;0;0;0;5;0;0;0;0;0;0;0;0
819;Nome;52;25;25;25;17;88;76;40;65;12;16;48;15;0;8;12;0;0;0;0;2;0;0;0
542;Nord-Aurdal;10;11;11;11;60;18;27;0;40;73;45;73;0;9;27;27;0;0;0;0;0;0;0;0
516;Nord-Fron;2;2;2;2;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
538;Nordre Land;14;30;30;30;36;50;37;7;57;37;30;63;7;13;30;23;0;0;3;0;0;0;0;0
1942;Nordreisa;12;14;14;14;8;21;29;0;83;64;36;29;8;14;29;71;0;0;7;0;0;0;0;0
633;Nore og Uvdal;0;11;11;11;:;18;27;0;:;73;36;36;:;9;36;64;:;0;0;0;:;0;0;0
807;Notodden;44;52;52;52;16;29;29;6;55;52;37;37;27;19;33;52;0;0;2;2;2;0;0;1
1751;Nærøy;10;15;15;15;20;40;47;7;70;53;33;60;10;7;20;33;0;0;0;0;0;0;0;0
1228;Odda;7;8;8;8;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
217;Oppegård;68;91;91;91;44;73;67;19;47;27;26;59;6;0;5;20;0;0;1;2;3;0;0;2
1638;Orkdal;6;8;8;8;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
9999;Os;1;30;30;30;:;57;67;17;:;30;13;63;:;13;13;17;:;0;7;0;:;0;0;0
301;Oslo;1882;2464;2465;2464;40;61;69;23;51;33;22;59;6;5;8;17;0;0;1;1;3;0;0;1
2020;Porsanger Porsángu Porsanki;25;23;23;23;32;43;43;9;40;48;35;57;20;9;22;35;0;0;0;0;8;0;0;0
805;Porsgrunn;59;68;68;68;36;50;62;18;54;37;21;57;7;13;18;22;0;0;0;1;3;0;0;1
1833;Rana;23;26;26;26;22;54;69;23;35;23;0;38;35;19;23;23;0;4;8;8;9;0;0;7
1539;Rauma;4;4;4;4;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1635;Rennebu;15;5;5;5;53;:;:;:;33;:;:;:;7;:;:;:;0;:;:;:;7;:;:;:
520;Ringebu;0;2;2;2;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
605;Ringerike;64;68;68;68;31;72;65;35;53;21;26;46;14;7;4;15;2;0;4;1;0;0;0;1
412;Ringsaker;16;22;22;22;50;64;73;14;44;27;18;68;6;9;9;14;0;0;0;5;0;0;0;4
1624;Rissa;24;9;9;9;46;:;:;:;29;:;:;:;21;:;:;:;0;:;:;:;4;:;:;:
901;Risør;27;29;29;29;11;38;45;3;67;41;38;62;15;21;14;31;7;0;3;0;0;0;0;0
1640;Røros;10;12;12;12;10;58;67;8;50;25;25;75;30;17;8;17;10;0;0;0;0;0;0;0
1923;Salangen;16;24;23;23;19;42;30;9;75;54;48;48;6;4;22;43;0;0;0;0;0;0;0;0
1840;Saltdal;2;3;3;3;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
9999;Sande;5;5;5;4;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
9999;Sande;4;5;5;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
706;Sandefjord;56;69;70;67;29;77;84;27;62;23;13;60;7;0;1;13;2;0;1;0;0;0;0;0
1102;Sandnes;116;134;135;135;40;54;70;21;48;36;16;56;8;10;14;20;0;1;0;2;4;0;0;2
105;Sarpsborg;96;102;103;102;40;48;49;13;57;40;32;53;0;12;17;29;0;0;2;4;3;0;0;2
1135;Sauda;12;14;14;14;67;21;50;0;33;64;36;57;0;14;14;36;0;0;0;7;0;0;0;7
822;Sauherad;0;12;12;12;:;25;50;17;:;50;25;50;:;25;25;33;:;0;0;0;:;0;0;0
517;Sel;27;27;27;27;41;26;44;15;48;52;30;44;11;22;22;37;0;0;4;0;0;0;0;0
1664;Selbu;0;2;2;2;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
828;Seljord;0;10;10;10;:;50;60;0;:;50;30;60;:;0;10;30;:;0;0;0;:;0;0;0
811;Siljan;0;5;5;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1046;Sirdal;6;6;6;5;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
231;Skedsmo;173;204;203;203;45;60;68;20;43;35;21;60;8;5;10;19;0;0;0;0;5;0;0;0
213;Ski;73;74;74;74;48;59;61;19;45;32;22;58;4;8;16;23;0;0;1;0;3;0;0;0
806;Skien;100;88;88;88;22;47;48;7;68;48;33;58;10;6;18;33;0;0;1;2;0;0;0;2
1941;Skjervøy;1;1;1;1;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
513;Skjåk;1;6;6;6;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1420;Sogndal;30;35;35;35;33;49;51;9;47;46;37;63;20;6;9;26;0;0;3;0;0;0;0;0
1124;Sola;0;14;14;14;:;50;57;7;:;36;29;57;:;14;14;36;:;0;0;0;:;0;0;0
1017;Songdalen;18;20;20;20;33;65;75;25;33;25;5;55;33;10;20;15;0;0;0;0;0;0;0;0
1870;Sortland;16;16;16;16;38;56;62;12;56;44;19;75;6;0;19;12;0;0;0;0;0;0;0;0
417;Stange;25;33;33;33;28;48;45;12;52;39;39;48;12;12;6;24;4;0;9;12;4;0;0;11
1103;Stavanger;266;284;284;284;32;51;64;25;52;39;23;52;10;11;12;20;0;0;1;1;6;0;0;1
1848;Steigen;1;2;2;2;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
1702;Steinkjer;19;27;27;27;42;48;48;11;37;37;33;48;11;15;19;37;0;0;0;4;11;0;0;3
1714;Stjørdal;24;25;25;25;42;36;52;16;46;56;44;52;12;8;4;32;0;0;0;0;0;0;0;0
1221;Stord;43;46;46;46;19;41;54;7;72;52;28;57;9;7;17;37;0;0;0;0;0;0;0;0
