Nr;Navn;2010;2011;2012;2013;2014
1234;Granvin;947;947;923;904;911
1235;Voss;13902;13957;13978;14061;14168
1238;Kvam;8360;8442;8522;8584;8584
1241;Fusa;3823;3851;3811;3818;3829
1242;Samnanger;2375;2394;2417;2434;2436
1243;Os (Hord.);16684;17210;17726;18142;18678
1244;Austevoll;4571;4680;4792;4838;4924
1245;Sund;6079;6265;6409;6514;6635
1246;Fjell;21823;22220;22720;23277;23852
1247;Askøy;24993;25602;26210;26831;27346
1251;Vaksdal;4107;4153;4138;4132;4140
1252;Modalen;344;370;370;383;372
1253;Osterøy;7421;7465;7521;7674;7786
1256;Meland;6631;6824;7036;7347;7544
1259;Øygarden;4267;4300;4419;4563;4704
1260;Radøy;4825;4896;4952;5003;5039
1263;Lindås;14286;14516;14668;14820;15069
1264;Austrheim;2738;2789;2776;2833;2833
1265;Fedje;594;587;576;569;561
1266;Masfjorden;1635;1672;1683;1696;1693
1401;Flora;11586;11588;11654;11697;11779
1411;Gulen;2302;2299;2310;2305;2315
1412;Solund;867;862;851;842;815
1413;Hyllestad;1502;1483;1461;1428;1391
1416;Høyanger;4256;4280;4216;4222;4183
1417;Vik;2768;2758;2748;2731;2688
1418;Balestrand;1344;1343;1338;1337;1306
1419;Leikanger;2182;2225;2236;2255;2268
1420;Sogndal;7035;7160;7348;7477;7623
1421;Aurland;1682;1689;1712;1714;1715
1422;Lærdal;2199;2224;2205;2176;2174
1424;Årdal;5634;5601;5572;5521;5496
1426;Luster;4945;5023;5026;5041;5089
1428;Askvoll;2999;3000;3010;3018;3011
1429;Fjaler;2846;2909;2832;2871;2853
1430;Gaular;2778;2798;2848;2923;2928
1431;Jølster;2981;3021;3052;3078;3070
1432;Førde;12035;12207;12307;12559;12685
1433;Naustdal;2675;2687;2710;2713;2776
1438;Bremanger;3908;3910;3891;3945;3950
1439;Vågsøy;5996;6030;6129;6119;6091
1441;Selje;2821;2810;2831;2789;2782
1443;Eid;5849;5905;5950;5920;5926
1444;Hornindal;1227;1207;1220;1238;1223
1445;Gloppen;5696;5705;5679;5676;5694
1449;Stryn;6967;7018;7065;7105;7134
1502;Molde;24795;25089;25488;25936;26048
1504;Ålesund;42982;43670;44416;45033;45747
1505;Kristiansund;23238;23570;23813;24131;24395
1511;Vanylven;3471;3417;3388;3336;3302
1514;Sande (M. og R.);2518;2625;2588;2628;2636
1515;Herøy (M. og R.);8383;8533;8727;8847;8847
1516;Ulstein;7461;7751;7828;7927;8092
1517;Hareid;4859;4932;5000;5057;5021
1519;Volda;8573;8655;8693;8827;8909
1520;Ørsta;10343;10373;10398;10456;10536
1523;Ørskog;2138;2120;2202;2267;2301
1524;Norddal;1801;1761;1738;1739;1685
1525;Stranda;4531;4575;4602;4610;4616
1526;Stordal;1030;1022;1026;1052;1035
1528;Sykkylven;7589;7662;7664;7673;7730
1529;Skodje;3944;4079;4184;4282;4387
1531;Sula;7931;8096;8256;8397;8651
1532;Giske;7029;7149;7312;7541;7739
1534;Haram;8739;8857;8973;9020;9084
1535;Vestnes;6506;6504;6539;6626;6615
1539;Rauma;7413;7400;7428;7421;7453
1543;Nesset;3074;2988;3004;2995;3001
1545;Midsund;1952;1968;1988;2010;2036
1546;Sandøy;1320;1332;1315;1291;1285
1547;Aukra;3196;3249;3289;3339;3377
1548;Fræna;9336;9324;9484;9614;9720
1551;Eide;3382;3438;3442;3476;3471
1554;Averøy;5477;5520;5593;5651;5687
1557;Gjemnes;2599;2582;2579;2557;2565
1560;Tingvoll;3071;3065;3101;3116;3064
1563;Sunndal;7289;7267;7196;7205;7171
1566;Surnadal;5956;5949;5952;5927;5954
1567;Rindal;2041;2061;2088;2061;2046
1571;Halsa;1650;1661;1641;1606;1581
1573;Smøla;2143;2137;2182;2180;2166
1576;Aure;3502;3523;3511;3570;3577
1601;Trondheim;170936;173486;176348;179692;182035
1612;Hemne;4207;4232;4221;4228;4224
1613;Snillfjord;998;992;981;985;980
1617;Hitra;4256;4340;4399;4477;4522
1620;Frøya;4314;4326;4369;4506;4547
1621;Ørland;5121;5133;5119;5155;5164
1622;Agdenes;1719;1745;1715;1712;1744
1624;Rissa;6442;6543;6543;6652;6646
1627;Bjugn;4548;4570;4584;4665;4711
1630;Åfjord;3220;3229;3257;3237;3242
1632;Roan;999;994;987;996;986
1633;Osen;1033;1025;1020;1010;997
1634;Oppdal;6603;6691;6755;6794;6814
1635;Rennebu;2622;2629;2569;2534;2556
1636;Meldal;3920;3903;3924;3967;3962
1638;Orkdal;11276;11365;11429;11519;11628
1640;Røros;5576;5581;5604;5589;5583
1644;Holtålen;2064;2048;2013;2030;2024
1648;Midtre Gauldal;6012;6015;6153;6266;6361
1653;Melhus;14841;15028;15392;15679;15844
1657;Skaun;6626;6756;6941;7143;7392
1662;Klæbu;5801;5894;5930;5939;5970
1663;Malvik;12550;12677;12785;13085;13371
1664;Selbu;4004;3996;4042;4030;4030
1665;Tydal;859;868;870;865;864
1702;Steinkjer;21080;21151;21303;21392;21555
1703;Namsos;12795;12906;12953;12988;13083
1711;Meråker;2471;2503;2513;2510;2553
1714;Stjørdal;21375;21659;22058;22379;22683
1717;Frosta;2495;2538;2618;2627;2653
1718;Leksvik;3528;3522;3527;3531;3555
1719;Levanger;18580;18741;18922;19078;19212
1721;Verdal;14222;14334;14387;14539;14788
1724;Verran;2914;2609;2705;2834;2562
1725;Namdalseid;1697;1707;1694;1699;1676
1736;Snåase Snåsa;2164;2172;2164;2154;2156
1738;Lierne;1435;1406;1410;1401;1385
1739;Raarvihke Røyrvik;495;499;494;503;498
