"kommune_nr","aar","enhet","tabell_navn","barnehage_tilsk","ekstra_bosetting_tilsk","eldre_tilsk","em_tilsk","funkhem","inttilsk_1","inttilsk_1_5","inttilsk_2_5","norsk_samf_tilsk","skole_tilsk","totalt","totalt_2","sjekk"
522,2015,"kroner","tilskudd",0,0,0,0,0,910000,3563000,2653000,1229087.5,0,4792087.5,4792087.5,0
528,2015,"kroner","tilskudd",122000,0,157500,0,0,4072000,12250200,8178200,7532023.33,0,20061723.33,20061723.33,0
529,2015,"kroner","tilskudd",146400,400000,152200,191300,0,7733000,18846000,11113000,7348152.5,0,27084052.5,27084052.5,0
532,2015,"kroner","tilskudd",71200,0,0,0,170500,1790000,7745000,5955000,2093450,0,10080150,10080150,0
533,2015,"kroner","tilskudd",47800,0,0,1237550,412778,7757000,28392000,20635000,6712188.32,0,36802316.32,36802316.32,0
534,2015,"kroner","tilskudd",24400,250000,0,382600,1807456,11716000,34757400,23041400,4495725,0,41717581,41717581,0
536,2015,"kroner","tilskudd",24400,0,0,382600,0,1831000,5138000,3307000,5993537.5,0,11538537.5,11538537.5,0
538,2015,"kroner","tilskudd",48800,0,0,2215399,0,4745000,16520200,11775200,2703250,0,21487649,21487649,0
540,2015,"kroner","tilskudd",48800,0,0,0,0,2459000,4834600,2375600,990925,0,5874325,5874325,0
541,2015,"kroner","tilskudd",97600,0,0,0,0,1820000,3864200,2044200,3459100,0,7420900,7420900,0
542,2015,"kroner","tilskudd",24400,0,0,0,0,2434000,7308400,4874400,1252900,0,8585700,8585700,0
543,2015,"kroner","tilskudd",0,0,0,191300,0,225000,2675000,2450000,1362300,0,4228600,4228600,0
544,2015,"kroner","tilskudd",0,0,0,0,0,1624000,3550200,1926200,1061025,0,4611225,4611225,0
545,2015,"kroner","tilskudd",48800,0,0,0,0,910000,2860600,1950600,7582850,0,10492250,10492250,0
602,2015,"kroner","tilskudd",243000,1350000,1203800,9498483,13237978,31925000,104529950,72604950,24736416.66,0,154799627.7,154799627.66,0.0399999916553497
604,2015,"kroner","tilskudd",24400,0,152200,2949207,684211,7499000,26870650,19371650,9495300,0,40175968,40175968,0
605,2015,"kroner","tilskudd",244000,250000,472500,382600,2337600,14215000,30517400,16302400,7700438.32,0,41904538.32,41904538.32,0
612,2015,"kroner","tilskudd",0,0,0,0,0,1424000,3985000,2561000,1173125,0,5158125,5158125,0
615,2015,"kroner","tilskudd",146400,200000,0,0,0,3276000,5458200,2182200,1229275,0,7033875,7033875,0
616,2015,"kroner","tilskudd",23400,0,0,0,0,1773000,4791400,3018400,5869408.33,0,10684208.33,10684208.33,0
617,2015,"kroner","tilskudd",93600,300000,152200,95650,1016114,6214000,13524400,7310400,1886275,0,17068239,17068239,0
618,2015,"kroner","tilskudd",0,0,0,191300,238452,2074000,5101200,3027200,7130075,0,12661027,12661027,0
619,2015,"kroner","tilskudd",0,50000,0,0,1278120,2302000,7806400,5504400,4138029.16,0,13272549.16,13272549.16,0
620,2015,"kroner","tilskudd",0,0,0,0,0,928000,2948000,2020000,1003412.5,0,3951412.5,3951412.5,0
621,2015,"kroner","tilskudd",0,0,0,0,530999,2070000,4104800,2034800,937337.5,0,5573136.5,5573136.5,0
