"";"nr";"navn";"bosatte";"anmodning";"vedtak";"ved_anm";"bos_anm";"Personer";"bos_pers"
"80";533;"Lunner";33;30;25;0,833333333333333;1,1;8776;3,76025524156791
"81";534;"Gran";30;35;30;0,857142857142857;0,857142857142857;13493;2,22337508337657
"82";536;"Søndre Land";7;10;10;1;0,7;5761;1,21506682867558
"83";538;"Nordre Land";15;19;15;0,789473684210526;0,789473684210526;6768;2,21631205673759
"84";540;"Sør-Aurdal";4;10;7;0,7;0,4;3154;1,26823081800888
"85";541;"Etnedal";2;10;0;0;0,2;1408;1,42045454545455
"86";542;"Nord-Aurdal";12;14;10;0,714285714285714;0,857142857142857;6428;1,86683260734287
"87";543;"Vestre Slidre";0;9;5;0,555555555555556;0;2232;0
"88";544;"Øystre Slidre";2;9;5;0,555555555555556;0,222222222222222;3174;0,630119722747322
"89";545;"Vang";2;2;2;1;1;1617;1,23685837971552
"90";602;"Drammen";133;124;124;1;1,07258064516129;64597;2,05891914485193
"91";604;"Kongsberg";23;45;35;0,777777777777778;0,511111111111111;25479;0,902704187762471
"92";605;"Ringerike";29;39;30;0,769230769230769;0,743589743589744;29236;0,991927760295526
"93";612;"Hole";4;13;10;0,769230769230769;0,307692307692308;6322;0,632711167352104
"94";615;"Flå";0;0;0;NA;NA;1034;0
"95";616;"Nes (Busk.)";9;12;10;0,833333333333333;0,75;3452;2,6071842410197
"96";617;"Gol";11;18;10;0,555555555555556;0,611111111111111;4581;2,40122244051517
"97";618;"Hemsedal";7;15;12;0,8;0,466666666666667;2228;3,14183123877917
"98";619;"Ål";12;13;10;0,769230769230769;0,923076923076923;4741;2,53111157983548
"99";620;"Hol";3;12;5;0,416666666666667;0,25;4457;0,673098496746691
"100";621;"Sigdal";4;8;5;0,625;0,5;3535;1,13154172560113
"101";622;"Krødsherad";0;5;0;0;0;2186;0
"102";623;"Modum";21;20;20;1;1,05;13116;1,60109789569991
"103";624;"Øvre Eiker";19;27;20;0,740740740740741;0,703703703703704;17421;1,09063773606567
"104";625;"Nedre Eiker";12;25;15;0,6;0,48;23262;0,515862780500387
"105";626;"Lier";18;27;20;0,740740740740741;0,666666666666667;24177;0,744509244323117
"106";627;"Røyken";16;27;20;0,740740740740741;0,592592592592593;19594;0,816576503011126
"107";628;"Hurum";14;27;20;0,740740740740741;0,518518518518518;9185;1,5242242787153
"108";631;"Flesberg";8;13;10;0,769230769230769;0,615384615384615;2638;3,03260045489007
"109";632;"Rollag";4;17;8;0,470588235294118;0,235294117647059;1383;2,89226319595083
"110";633;"Nore og Uvdal";7;12;6;0,5;0,583333333333333;2540;2,75590551181102
"111";701;"Horten";21;40;15;0,375;0,525;26307;0,798266621051431
"112";702;"Holmestrand";9;18;8;0,444444444444444;0,5;10251;0,877963125548727
"113";704;"Tønsberg";23;50;30;0,6;0,46;40677;0,565430095631438
"114";706;"Sandefjord";30;50;30;0,6;0,6;44150;0,679501698754247
"115";709;"Larvik";32;50;40;0,8;0,64;42947;0,745104431042913
"116";711;"Svelvik";5;13;5;0,384615384615385;0,384615384615385;6581;0,759762953958365
"117";713;"Sande (Vestf.)";11;18;10;0,555555555555556;0,611111111111111;8680;1,26728110599078
"118";714;"Hof";0;13;5;0,384615384615385;0;3048;0
"119";716;"Re";5;25;15;0,6;0,2;8936;0,559534467323187
"120";719;"Andebu";1;25;0;0;0,04;5448;0,183553597650514
"121";720;"Stokke";27;25;20;0,8;1,08;11178;2,41545893719807
"122";722;"Nøtterøy";19;30;25;0,833333333333333;0,633333333333333;20995;0,904977375565611
"123";723;"Tjøme";5;18;8;0,444444444444444;0,277777777777778;4813;1,03885310617079
"124";728;"Lardal";4;20;5;0,25;0,2;2413;1,65768752590137
"125";805;"Porsgrunn";43;70;50;0,714285714285714;0,614285714285714;35219;1,22093188335841
"126";806;"Skien";95;100;90;0,9;0,95;52509;1,8092136586109
"127";807;"Notodden";34;40;30;0,75;0,85;12469;2,72676237067928
"128";811;"Siljan";15;15;15;1;1;2432;6,16776315789474
"129";814;"Bamble";42;40;41;1,025;1,05;14106;2,97745640153126
"130";815;"Kragerø";37;40;40;1;0,925;10710;3,4547152194211
"131";817;"Drangedal";5;15;4;0,266666666666667;0,333333333333333;4126;1,21182743577315
"132";819;"Nome";11;20;10;0,5;0,55;6579;1,67198662410701
"133";821;"Bø (Telemark)";6;25;10;0,4;0,24;5766;1,04058272632674
"134";822;"Sauherad";23;25;15;0,6;0,92;4314;5,33147890588781
"135";826;"Tinn";16;20;14;0,7;0,8;5982;2,67469073888332
"136";827;"Hjartdal";0;0;0;NA;NA;1602;0
"137";828;"Seljord";1;20;8;0,4;0,05;2959;0,337952010814464
"138";829;"Kviteseid";0;0;0;NA;NA;2498;0
"139";830;"Nissedal";0;0;0;NA;NA;1430;0
"140";831;"Fyresdal";5;10;10;1;0,5;1335;3,74531835205993
"141";833;"Tokke";0;0;0;NA;NA;2287;0
"142";834;"Vinje";6;5;10;2;1,2;3700;1,62162162162162
"143";901;"Risør";18;20;18;0,9;0,9;6899;2,60907377880852
