"";"nr";"navn";"bosatte";"anmodning";"vedtak";"ved_anm";"bos_anm";"Personer";"bos_pers"
"377";1859;"Flakstad";0;0;0;NA;NA;1383;0
"378";1860;"Vestvågøy";46;40;40;1;1,15;10848;4,24041297935103
"379";1865;"Vågan";33;40;30;0,75;0,825;9086;3,6319612590799
"380";1866;"Hadsel";12;40;15;0,375;0,3;7937;1,51190626181177
"381";1867;"Bø (Nordl.)";0;10;0;0;0;2720;0
"382";1868;"Øksnes";6;0;10;Inf;Inf;4467;1,34318334452653
"383";1870;"Sortland";29;35;25;0,714285714285714;0,828571428571429;9983;2,90493839527196
"384";1871;"Andøy";23;30;30;1;0,766666666666667;5032;4,57074721780604
"385";1874;"Moskenes";0;0;0;NA;NA;1116;0
"386";1902;"Tromsø";112;100;100;1;1,12;69116;1,62046414723074
"387";1903;"Harstad";58;0;0;NA;Inf;0;Inf
"388";1911;"Kvæfjord";8;10;10;1;0,8;3025;2,64462809917355
"389";1913;"Skånland";12;10;10;1;1,2;2972;4,03768506056528
"390";1917;"Ibestad";5;5;5;1;1;1410;3,54609929078014
"391";1919;"Gratangen";5;10;5;0,5;0,5;1136;4,40140845070423
"392";1920;"Lavangen";0;0;0;NA;NA;1016;0
"393";1922;"Bardu";4;10;10;1;0,4;3875;1,03225806451613
"394";1923;"Salangen";16;20;15;0,75;0,8;2214;7,22673893405601
"395";1924;"Målselv";10;20;10;0,5;0,5;6599;1,51538111835127
"396";1925;"Sørreisa";0;0;0;NA;NA;3381;0
"397";1926;"Dyrøy";0;0;0;NA;NA;1188;0
"398";1927;"Tranøy";12;15;15;1;0,8;1524;7,8740157480315
"399";1928;"Torsken";0;0;0;NA;NA;892;0
"400";1929;"Berg";0;15;0;0;0;887;0
"401";1931;"Lenvik";30;40;30;0,75;0,75;11345;2,64433671220802
"402";1933;"Balsfjord";0;10;0;0;0;5502;0
"403";1936;"Karlsøy";0;0;0;NA;NA;2355;0
"404";1938;"Lyngen";0;0;0;NA;NA;3028;0
"405";1939;"Storfjord";5;5;10;2;1;1909;2,61917234154007
"406";1940;"Gáivuotna Kåfjord";0;0;0;NA;NA;2210;0
"407";1941;"Skjervøy";1;5;0;0;0,2;2880;0,347222222222222
"408";1942;"Nordreisa";15;30;13;0,433333333333333;0,5;4807;3,12044934470564
"409";1943;"Kvænangen";0;0;0;NA;NA;1284;0
"410";2002;"Vardø";0;0;0;NA;NA;2122;0
"411";2003;"Vadsø";69;75;75;1;0,92;6125;11,265306122449
"412";2004;"Hammerfest";25;25;25;1;1;9934;2,5166096235152
"413";2011;"Guovdageaidnu Kautokeino";0;0;0;NA;NA;2927;0
"414";2012;"Alta";32;40;20;0,5;0,8;19282;1,65957888185873
"415";2014;"Loppa";0;0;0;NA;NA;1087;0
"416";2015;"Hasvik";0;0;0;NA;NA;995;0
"417";2017;"Kvalsund";0;0;0;NA;NA;1010;0
"418";2018;"Måsøy";0;0;0;NA;NA;1243;0
"419";2019;"Nordkapp";1;10;0;0;0,1;3228;0,309789343246592
"420";2020;"Porsanger";11;15;15;1;0,733333333333333;3946;2,78763304612266
"421";2021;"Kárásjohka Karasjok";0;0;0;NA;NA;2763;0
"422";2022;"Lebesby";0;0;0;NA;NA;1356;0
"423";2023;"Gamvik";0;0;0;NA;NA;1008;0
"424";2024;"Berlevåg";0;0;0;NA;NA;1015;0
"425";2025;"Deatnu Tana";0;0;0;NA;NA;2896;0
"426";2027;"Unjargga-Nesseby";0;0;0;NA;NA;901;0
"427";2028;"Båtsfjord";5;10;6;0,6;0,5;2089;2,39348970799426
"428";2030;"Sør-Varanger";27;35;25;0,714285714285714;0,771428571428571;9860;2,73833671399594
