"";"naregnr";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10"
"31";"31";16531900;10755200;3511500;7243700;0;4708400;523600;90500;147600;306600
"32";"32";150096370;107794100;30244500;77549600;6018802;23387100;10187368;318400;442800;1947800
"33";"33";71160727;43510400;13441000;30069400;1691927;23322500;1047200;137400;438200;1013100
"34";"34";50755774;35138000;11768000;23370000;1796616;11112900;1778058;157000;0;773200
"35";"35";234101670;164822900;50819500;114003400;9465344;43962000;11681826;898400;438200;2833000
"36";"36";36049608;23312300;8365000;14947300;487000;10138100;1712608;137400;0;262200
"37";"37";128948881;90577150;24026500;66550650;6140231;29503200;654500;547400;0;1526400
"38";"38";41160018;25963200;6935000;19028200;2487518;11604400;523600;68700;0;512600
"39";"39";297842359;187011300;48166000;138845300;6820700;84704000;14521759;1086000;885600;2813000
"40";"40";331686441;242433175;80974125;161459050;2215271;66339700;15160495;859200;706500;3972100
"41";"41";14840500;7439800;1495000;5944800;2344600;4811000;130900;45800;0;68400
"42";"42";42430445;25253700;12161500;13092200;1251561;14387800;632684;182100;290600;432000
"43";"43";23026966;15163950;4950500;10213450;0;6714700;873516;128600;0;146200
"44";"44";27571865;17261200;6408000;10853200;210600;8193300;1518965;137400;0;250400
"45";"45";13207800;9370000;3103000;6267000;0;3572400;130900;43600;0;90900
"46";"46";68120249;43962200;11216000;32746400;320000;19924600;2421649;229000;295200;967400
"47";"47";61786063;44597400;12558000;32039400;399033;14297400;1547630;159200;0;785400
"48";"48";3885800;1215000;1215000;0;0;2625000;0;45800;0;0
"49";"49";53132075;35043000;13477000;21566000;0;14254500;2821875;317300;0;695400
"50";"50";56522958;37639900;15911500;21728400;0;17495800;338158;206100;147600;695400
"51";"51";69866600;45503500;13070500;32433000;0;20926900;2094400;431800;295200;614800
"52";"52";105072346;69689825;23974000;45715825;1418214;28459100;3676107;384900;295200;1149000
"53";"53";74739898;46173700;14792500;31381200;1516789;21472100;4419309;224600;147600;785800
"54";"54";13892700;9169700;2874500;6295200;0;4374800;0;0;143000;205200
"55";"55";91261956;58022700;17652000;40370700;4060559;20948100;6820497;341300;0;1068800
"56";"56";73864959;47226000;15809500;31416500;0;22014900;3348859;205000;147600;922600
"57";"57";15107480;7227000;3260000;3967000;0;6633780;1178100;45800;0;22800
"58";"58";9245700;4029000;165000;3864000;0;5193900;0;0;0;22800
"59";"59";12786100;10282200;3416500;6865700;0;2310800;0;90500;0;102600
"60";"60";31785000;20612600;7064500;13548100;0;9759700;785400;224600;143000;259700
"61";"61";317202633;215104100;61779800;153324300;30301946;55128230;11819557;902800;881000;3065000
"62";"62";7118900;4822600;1275000;3547600;0;2159500;0;0;0;136800
"63";"63";54211215;39127150;10376000;28751150;1350615;9886600;3038350;153700;143000;511800
"64";"64";117340424;85877050;28583500;57293550;600888;22800900;6162286;339100;0;1560200
"65";"65";23864414;11351100;2086500;9264600;0;8871700;3096614;21800;295200;228000
"66";"66";26785500;21198300;7454550;13743750;0;5131000;0;137400;0;318800
"67";"67";52959318;35730900;12503000;23227900;183753;14515200;1493765;249700;147600;638400
"68";"68";24045600;17360600;3800000;13560600;0;6342700;0;68700;0;273600
"69";"69";49230222;35382300;11174500;24207800;0;10984400;1929422;217500;0;716600
"70";"70";1743300;70000;0;70000;0;1673300;0;0;0;0
"71";"71";33684375;18277000;5680000;12597000;0;12980500;2061675;91600;0;273600
"72";"72";67830077;45046500;12476500;32570000;160000;17103400;4438677;158100;0;923400
"73";"73";169238285;110658400;41051500;69606900;4037765;44355000;7503620;829700;0;1853800
"74";"74";54310200;37640800;13088000;24552800;1221800;14156700;261800;314000;0;715100
"75";"75";78173444;49882200;13764500;36117700;4827450;16871600;5148394;362000;295200;786600
"76";"76";106022757;73983400;20869500;53113900;5088020;22372400;2323137;447000;147600;1661200
"77";"77";119949217;75344900;19213000;56131900;4079629;28827400;10009788;389300;147600;1150600
"78";"78";83724667;53853900;19712500;34141400;3229208;25001400;207259;295500;147600;989800
"79";"79";110789525;78202900;22009000;56193900;1841200;23967300;5006925;582200;143000;1046000
"80";"80";25498300;13493800;4823000;8670800;0;11696500;0;45800;0;262200
"81";"81";68163414;40398600;10169500;30229100;1565573;18736100;6790041;114500;0;558600
"82";"82";14117200;7058400;3200000;3858400;0;5635600;1309000;45800;0;68400
"83";"83";111852212;67475500;19668500;47807000;11760236;22188900;8606676;341300;295200;1184400
