"";"data...1.";"data...i."
"1";NA;"ar.1986"
"2";NA;"innvkat_5.alle"
"3";NA;"kjonn.alle"
"4";NA;"enhet.personer"
"226";"1106 Haugesund";"26883"
"227";"1111 Sokndal";"3483"
"228";"1112 Lund";"3110"
"229";"1114 Bjerkreim";"2283"
"230";"1119 Hå";"12715"
"231";"1120 Klepp";"11358"
"232";"1121 Time";"11182"
"233";"1122 Gjesdal";"6238"
"234";"1124 Sola";"14832"
"235";"1127 Randaberg";"6967"
"236";"1129 Forsand";"947"
"237";"1130 Strand";"9059"
"238";"1133 Hjelmeland";"2860"
"239";"1134 Suldal";"4410"
"240";"1135 Sauda";"5484"
"241";"1141 Finnøy";"2750"
"242";"1142 Rennesøy";"2477"
"243";"1144 Kvitsøy";"518"
"244";"1145 Bokn";"742"
"245";"1146 Tysvær";"7613"
"246";"1149 Karmøy";"34196"
"247";"1151 Utsira";"252"
"248";"1154 Vindafjord (1965-2005)";"4924"
"249";"1159 Ølen (-2005)";"0"
"250";"1160 Vindafjord";"0"
"251";"1199 Uoppgitt kommune Rogaland";"0"
"252";"1201 Bergen";"207922"
"253";"1211 Etne";"4086"
"254";"1214 Ølen (-2001)";"3111"
"255";"1216 Sveio";"4544"
"256";"1219 Bømlo";"9502"
"257";"1221 Stord";"13865"
"258";"1222 Fitjar";"2998"
"259";"1223 Tysnes";"2893"
"260";"1224 Kvinnherad";"13187"
"261";"1227 Jondal";"1306"
"262";"1228 Odda";"8659"
"263";"1230 Ullensvang (-1976)";"0"
"264";"1231 Ullensvang";"4047"
"265";"1232 Eidfjord";"1031"
"266";"1233 Ulvik";"1281"
"267";"1234 Granvin";"1097"
"268";"1235 Voss";"14025"
"269";"1238 Kvam";"8754"
"270";"1241 Fusa";"3820"
"271";"1242 Samnanger";"2383"
"272";"1243 Os (Hord.)";"11763"
"273";"1244 Austevoll";"4178"
"274";"1245 Sund";"4585"
"275";"1246 Fjell";"12793"
"276";"1247 Askøy";"18163"
"277";"1248 Laksevåg (1918-1971)";"0"
"278";"1249 Fana (-1971)";"0"
"279";"1250 Arna (1964-1971)";"0"
"280";"1251 Vaksdal";"4650"
"281";"1252 Modalen";"378"
"282";"1253 Osterøy";"6897"
"283";"1255 Åsane (-1971)";"0"
"284";"1256 Meland";"4151"
"285";"1259 Øygarden";"2709"
"286";"1260 Radøy";"4487"
"287";"1263 Lindås";"11091"
"288";"1264 Austrheim";"2585"
"289";"1265 Fedje";"795"
"290";"1266 Masfjorden";"1926"
"291";"1299 Uoppgitt kommune Hordaland";"0"
"292";"1301 Bergen (-1971)";"0"
"293";"1401 Flora";"9438"
"294";"1411 Gulen";"2664"
"295";"1412 Solund";"1170"
"296";"1413 Hyllestad";"1786"
"297";"1416 Høyanger";"4909"
"298";"1417 Vik";"2528"
"299";"1418 Balestrand";"1894"
"300";"1419 Leikanger";"2839"
"301";"1420 Sogndal";"5729"
"302";"1421 Aurland";"1933"
"303";"1422 Lærdal";"2263"
"304";"1424 Årdal";"6305"
"305";"1426 Luster";"5130"
"306";"1428 Askvoll";"3412"
"307";"1429 Fjaler";"3390"
"308";"1430 Gaular";"2849"
"309";"1431 Jølster";"3023"
"310";"1432 Førde";"7954"
"311";"1433 Naustdal";"2762"
"312";"1438 Bremanger";"4802"
"313";"1439 Vågsøy";"6445"
"314";"1441 Selje";"3395"
"315";"1443 Eid";"5304"
"316";"1444 Hornindal";"1255"
"317";"1445 Gloppen";"6298"
"318";"1448 Stryn (-1976)";"0"
"319";"1449 Stryn";"6629"
"320";"1499 Uoppgitt kommune Sogn og Fjordane";"0"
"321";"1501 Ålesund (-1976)";"0"
"322";"1502 Molde";"21439"
"323";"1503 Kristiansund  (-2007)";"17766"
"324";"1504 Ålesund";"35157"
"325";"1505 Kristiansund";"0"
"326";"1511 Vanylven";"3939"
"327";"1514 Sande (M. og R.)";"3415"
"328";"1515 Herøy (M. og R.)";"8069"
"329";"1516 Ulstein";"5525"
"330";"1517 Hareid";"4336"
"331";"1519 Volda";"7819"
"332";"1520 Ørsta";"10290"
"333";"1523 Ørskog";"1965"
"334";"1524 Norddal";"2086"
"335";"1525 Stranda";"4745"
"336";"1526 Stordal";"1027"
"337";"1527 Ørskog (-1976)";"0"
"338";"1528 Sykkylven";"6753"
"339";"1529 Skodje";"3151"
"340";"1531 Sula";"6737"
"341";"1532 Giske";"6150"
"342";"1534 Haram";"8716"
"343";"1535 Vestnes";"6359"
"344";"1539 Rauma";"7874"
"345";"1543 Nesset";"3363"
"346";"1545 Midsund";"2126"
"347";"1546 Sandøy";"1610"
"348";"1547 Aukra";"2995"
"349";"1548 Fræna";"8893"
"350";"1551 Eide";"3084"
"351";"1554 Averøy";"5601"
"352";"1556 Frei (-2007)";"4398"
"353";"1557 Gjemnes";"2964"
"354";"1560 Tingvoll";"3481"
"355";"1563 Sunndal";"7498"
"356";"1566 Surnadal";"6485"
"357";"1567 Rindal";"2338"
"358";"1569 Aure (-2005)";"2957"
"359";"1571 Halsa";"2111"
"360";"1572 Tustna (-2005)";"1149"
"361";"1573 Smøla";"2859"
"362";"1576 Aure";"0"
"363";"1599 Uoppgitt kommune Møre og Romsdal";"0"
"364";"1601 Trondheim";"134362"
"365";"1612 Hemne";"4410"
"366";"1613 Snillfjord";"1221"
"367";"1617 Hitra";"4416"
"368";"1620 Frøya";"4445"
"369";"1621 Ørland";"4828"
"370";"1622 Agdenes";"2011"
"371";"1624 Rissa";"6808"
"372";"1627 Bjugn";"4951"
"373";"1630 Åfjord";"3687"
"374";"1632 Roan";"1286"
"375";"1633 Osen";"1359"
"376";"1634 Oppdal";"6088"
