"";"data...1."
"492";"1942 Nordreisa"
"493";"1943 Kvænangen"
"494";"1999 Uoppgitt kommune Troms"
"495";"2001 Hammerfest (-1991)"
"496";"2002 Vardø"
"497";"2003 Vadsø"
"498";"2004 Hammerfest"
"499";"2011 Guovdageaidnu Kautokeino"
"500";"2012 Alta"
"501";"2014 Loppa"
"502";"2015 Hasvik"
"503";"2016 Sørøysund (-1991)"
"504";"2017 Kvalsund"
"505";"2018 Måsøy"
"506";"2019 Nordkapp"
"507";"2020 Porsanger Porsángu Porsanki"
"508";"2021 Kárásjohka Karasjok"
"509";"2022 Lebesby"
"510";"2023 Gamvik"
"511";"2024 Berlevåg"
"512";"2025 Deatnu Tana"
"513";"2027 Unjárga Nesseby"
"514";"2028 Båtsfjord"
"515";"2030 Sør-Varanger"
"516";"2099 Uoppgitt kommune Finnmark"
"517";"2111 Longyearbyen"
"518";"2112 Ny-Ålesund"
"519";"2113 Barentsburg"
"520";"2114 Hornsund"
"521";"2115 Svea"
"522";"2121 Bjørnøya"
"523";"2131 Hopen"
"524";"2199 Uoppgitt kommune Svalbard"
"525";"2211 Jan Mayen"
"526";"2299 Uoppgitt Jan Mayen"
"527";"2300 Kontinentalsokkelen"
"528";"2311 Sokkelen sør for 62° N"
"529";"2321 Sokkelen nord for 62° N"
"530";"2399 Sokkelen, uspesifisert"
"531";"9999 Uoppgitt kommune"
